time_of_day,route,stop_id,stop_name,direction,min_load,max_load,avg_load,us_housing_units_no_vehicle_po,us_housing_units_no_vehicle,us_population_low_income_po,us_population_low_income,population_density,us_population,us_population_eighteen_to_twenty_four_years_old,us_population_eighteen_to_twenty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old,latitude,longitude
Morning,31,3035, BALBOA ST&6TH AVE SE-FS/BZ,Inbound,3,54,32,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77749,-122.46433
Evening,31,3035, BALBOA ST&6TH AVE SE-FS/BZ,Inbound,13,60,28,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77749,-122.46433
Morning,31,3036, BALBOA ST&8TH AVE NE-NS/PS,Outbound,10,29,18.71428571,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77725,-122.46655
Evening,831,3036, BALBOA ST&8TH AVE NE-NS/PS,Outbound,3,21,11.75,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77725,-122.46655
Evening,31,3036, BALBOA ST&8TH AVE NE-NS/PS,Outbound,19,52,30.57142857,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77725,-122.46655
Morning,831,3037, BALBOA ST&8TH AVE SW-NS/PS,Inbound,13,54,27.28571429,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77748,-122.46671
Morning,31,3037, BALBOA ST&8TH AVE SW-NS/PS,Inbound,3,50,28.7,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77748,-122.46671
Evening,31,3037, BALBOA ST&8TH AVE SW-NS/PS,Inbound,16,55,27.14285714,0.226831897,3712,0.245224396,8690,8515,8690,0.104833142,8690,0.630149597,8690,37.77748,-122.46671
Evening,31,3038, BALBOA ST&10TH AVE NE-NS/PS,Outbound,20,53,30.125,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77715,-122.46869
Morning,31,3038, BALBOA ST&10TH AVE NE-NS/PS,Outbound,9,30,18.28571429,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77715,-122.46869
Evening,831,3038, BALBOA ST&10TH AVE NE-NS/PS,Outbound,2,16,8.625,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77715,-122.46869
Morning,31,3039, BALBOA ST&10TH AVE SW-NS/PS,Inbound,3,43,26.8,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.7771,-122.46887
Evening,31,3039, BALBOA ST&10TH AVE SW-NS/PS,Inbound,16,54,26.85714286,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.7771,-122.46887
Morning,831,3039, BALBOA ST&10TH AVE SW-NS/PS,Inbound,7,33,15.71428571,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.7771,-122.46887
Evening,31,3040, BALBOA ST&12TH AVE NE-NS/PS,Outbound,19,50,32.75,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47075
Morning,31,3040, BALBOA ST&12TH AVE NE-NS/PS,Outbound,9,30,18.14285714,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47075
Evening,831,3040, BALBOA ST&12TH AVE NE-NS/PS,Outbound,0,10,5.5,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47075
Evening,31,3041, BALBOA ST&12TH AVE SW-NS/PS,Inbound,15,54,26.71428571,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47148
Morning,831,3041, BALBOA ST&12TH AVE SW-NS/PS,Inbound,0,16,7.714285714,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47148
Morning,31,3041, BALBOA ST&12TH AVE SW-NS/PS,Inbound,3,39,26,0.197336137,2853,0.216320842,6458,8515,6458,0.076958811,6458,0.621709508,6458,37.77705,-122.47148
Evening,31,3043, BALBOA ST&17TH AVE NE-NS/PS,Outbound,17,43,31.625,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77682,-122.47682
Morning,31,3043, BALBOA ST&17TH AVE NE-NS/PS,Outbound,7,30,16.71428571,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77682,-122.47682
Evening,931,3043, BALBOA ST&17TH AVE NE-NS/PS,Outbound,23,50,33.9,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77682,-122.47682
Evening,31,3044, BALBOA ST&17TH AVE SW-NS/PS,Inbound,14,55,26.85714286,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7768,-122.47649
Morning,31,3044, BALBOA ST&17TH AVE SW-NS/PS,Inbound,3,37,25.11111111,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7768,-122.47649
Morning,931,3044, BALBOA ST&17TH AVE SW-NS/PS,Inbound,28,54,42.8,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7768,-122.47649
Evening,931,3045, BALBOA ST&19TH AVE NE-NS/BZ,Outbound,24,36,29.66666667,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77675,-122.47829
Evening,31,3045, BALBOA ST&19TH AVE NE-NS/BZ,Outbound,16,41,30.875,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77675,-122.47829
Morning,31,3045, BALBOA ST&19TH AVE NE-NS/BZ,Outbound,7,30,17,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77675,-122.47829
Morning,31,3046, BALBOA ST&19TH AVE SW-NS/BZ,Inbound,3,37,22.66666667,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.47856
Evening,31,3046, BALBOA ST&19TH AVE SW-NS/BZ,Inbound,14,56,25.57142857,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.47856
Morning,931,3046, BALBOA ST&19TH AVE SW-NS/BZ,Inbound,23,51,40.6,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.47856
Evening,931,3047, BALBOA ST&21ST AVE NE-NS/PS,Outbound,19,34,26.88888889,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.48054
Evening,31,3047, BALBOA ST&21ST AVE NE-NS/PS,Outbound,14,42,29.125,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.48054
Morning,31,3047, BALBOA ST&21ST AVE NE-NS/PS,Outbound,8,29,16.85714286,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77662,-122.48054
Evening,31,3048, BALBOA ST&21ST AVE SW-NS/PS,Inbound,14,60,26.28571429,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48067
Morning,931,3048, BALBOA ST&21ST AVE SW-NS/PS,Inbound,21,47,37.2,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48067
Morning,31,3048, BALBOA ST&21ST AVE SW-NS/PS,Inbound,3,35,21.33333333,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48067
